NCharge	Element	Shells	empirical_radius	Calculated_radius	van_der_Waals_radius	Covalent_1_radius	Covalent_3_radius
1	Hydrogen	[1]	25	53	120	38	0
2	Helium	[2]	0	31	140	32	0
3	Lithium	[2,1]	145	167	182	134	0
4	Beryllium	[2,2]	105	112	153	90	85
5	Boron	[2,3]	85	87	192	82	73
6	Carbon	[2,4]	70	67	170	77	60
7	Nitrogen	[2,5]	65	56	155	75	54
8	Oxygen	[2,6]	60	48	152	73	53
9	Fluorine	[2,7]	50	42	147	71	53
10	Neon	[2,8]	0	38	154	69	0
11	Sodium	[2,8,1]	180	190	227	154	0
12	Magnesium	[2,8,2]	150	145	173	130	127
13	Aluminium	[2,8,3]	125	118	184	118	111
14	Silicon	[2,8,4]	110	111	210	111	102
15	Phosphorus	[2,8,5]	100	98	180	106	94
16	Sulfur	[2,8,6]	100	88	180	102	95
17	Chlorine	[2,8,7]	100	79	175	99	93
18	Argon	[2,8,8]	71	71	188	97	96
19	Potassium	[2,8,8,1]	220	243	275	196	0
20	Calcium	[2,8,8,2]	180	194	231	174	133
21	Scandium	[2,8,9,2]	160	184	211	144	114
22	Titanium	[2,8,10,2]	140	176	0	136	108
23	Vanadium	[2,8,11,2]	135	171	0	125	106
24	Chromium	[2,8,13,1]	140	166	0	127	103
25	Manganese	[2,8,13,2]	140	161	0	139	103
26	Iron	[2,8,14,2]	140	156	0	125	102
27	Cobalt	[2,8,15,2]	135	152	0	126	96
28	Nickel	[2,8,16,2]	135	149	163	121	101
29	Copper	[2,8,18,1]	135	145	140	138	120
30	Zinc	[2,8,18,2]	135	142	139	131	0
31	Gallium	[2,8,18,3]	130	136	187	126	121
32	Germanium	[2,8,18,4]	125	125	211	122	114
33	Arsenic	[2,8,18,5]	115	114	185	119	106
34	Selenium	[2,8,18,6]	115	103	190	116	107
35	Bromine	[2,8,18,7]	115	94	185	114	110
36	Krypton	[2,8,18,8]	0	88	202	110	108
37	Rubidium	[2,8,18,8,1]	235	265	303	211	0
38	Strontium	[2,8,18,8,2]	200	219	249	192	139
39	Yttrium	[2,8,18,9,2]	180	212	0	162	124
40	Zirconium	[2,8,18,10,2]	155	206	0	148	121
41	Niobium	[2,8,18,12,1]	145	198	0	137	116
42	Molybdenum	[2,8,18,13,1]	145	190	0	145	113
43	Technetium	[2,8,18,13,2]	135	183	0	156	110
44	Ruthenium	[2,8,18,15,1]	130	178	0	126	103
45	Rhodium	[2,8,18,16,1]	135	173	0	135	106
46	Palladium	[2,8,18,18]	140	169	163	131	112
47	Silver	[2,8,18,18,1]	160	165	172	153	137
48	Cadmium	[2,8,18,18,2]	155	161	158	148	0
49	Indium	[2,8,18,18,3]	155	156	193	144	146
50	Tin	[2,8,18,18,4]	145	145	217	141	132
51	Antimony	[2,8,18,18,5]	145	133	206	138	127
52	Tellurium	[2,8,18,18,6]	140	123	206	135	121
53	Iodine	[2,8,18,18,7]	140	115	198	133	125
54	Xenon	[2,8,18,18,8]	0	108	216	130	122
55	Caesium	[2,8,18,18,8,1]	260	298	343	225	0
56	Barium	[2,8,18,18,8,2]	215	253	268	198	149
57	Lanthanum	[2,8,18,18,9,2]	195	0	0	169	139
58	Cerium	[2,8,18,19,9,2]	185	0	0	0	131
59	Praseodymium	[2,8,18,21,8,2]	185	247	0	0	128
60	Neodymium	[2,8,18,22,8,2]	185	206	0	0	0
61	Promethium	[2,8,18,23,8,2]	185	205	0	0	0
62	Samarium	[2,8,18,24,8,2]	185	238	0	0	0
63	Europium	[2,8,18,25,8,2]	185	231	0	0	0
64	Gadolinium	[2,8,18,25,9,2]	180	233	0	0	132
65	Terbium	[2,8,18,27,8,2]	175	225	0	0	0
66	Dysprosium	[2,8,18,28,8,2]	175	228	0	0	0
67	Holmium	[2,8,18,29,8,2]	175	0	0	0	0
68	Erbium	[2,8,18,30,8,2]	175	226	0	0	0
69	Thulium	[2,8,18,31,8,2]	175	222	0	0	0
70	Ytterbium	[2,8,18,32,8,2]	175	222	0	0	0
71	Lutetium	[2,8,18,32,9,2]	175	217	0	160	131
72	Hafnium	[2,8,18,32,10,2]	155	208	0	150	122
73	Tantalum	[2,8,18,32,11,2]	145	200	0	138	119
74	Tungsten	[2,8,18,32,12,2]	135	193	0	146	115
75	Rhenium	[2,8,18,32,13,2]	135	188	0	159	110
76	Osmium	[2,8,18,32,14,2]	130	185	0	128	109
77	Iridium	[2,8,18,32,15,2]	135	180	0	137	107
78	Platinum	[2,8,18,32,17,1]	135	177	175	128	110
79	Gold	[2,8,18,32,18,1]	135	174	166	144	123
